"","geo","time","values"
"2640","PL",2002-10-01,49424
"2641","PT",2002-10-01,32141.4
"2642","RO",2002-10-01,12824.2
"2643","RS",2002-10-01,4185.6
"2644","SE",2002-10-01,64930.7
"2645","SI",2002-10-01,5664.1
"2646","SK",2002-10-01,6367.4
"2647","TR",2002-10-01,56902
"2648","UK",2002-10-01,429996.4
"2649","AT",2002-07-01,50998.6
"2650","BE",2002-07-01,59937
"2651","BG",2002-07-01,4346.7
"2652","CH",2002-07-01,77656.4
"2653","CY",2002-07-01,2761.4
"2654","CZ",2002-07-01,20751.2
"2655","DE",2002-07-01,511184
"2656","DK",2002-07-01,40585.5
"2657","EA",2002-07-01,1682726.8
"2658","EA12",2002-07-01,1682726.8
"2659","EA19",2002-07-01,1705817.7
"2660","EE",2002-07-01,1739.8
"2661","EL",2002-07-01,37932.4
"2662","ES",2002-07-01,166833
"2663","EU15",2002-07-01,2202859
"2664","EU27_2019",2002-07-01,1907609.1
"2665","EU28",2002-07-01,2328132.3
"2666","FI",2002-07-01,32142
"2667","FR",2002-07-01,350994
"2668","HR",2002-07-01,6372.3
"2669","HU",2002-07-01,15627.8
"2670","IE",2002-07-01,29578.5
"2671","IT",2002-07-01,295141.9
"2672","LT",2002-07-01,3564.7
"2673","LU",2002-07-01,5460.9
"2674","LV",2002-07-01,2299.6
"2675","MK",2002-07-01,861.2
"2676","MT",2002-07-01,1097.2
"2677","NL",2002-07-01,110721
"2678","NO",2002-07-01,45768.5
"2679","PL",2002-07-01,43338.3
"2680","PT",2002-07-01,31061.5
"2681","RO",2002-07-01,11750.4
"2682","RS",2002-07-01,3847.8
"2683","SE",2002-07-01,59036.1
"2684","SI",2002-07-01,5542.9
"2685","SK",2002-07-01,6081.7
"2686","TR",2002-07-01,55342.6
"2687","UK",2002-07-01,420644.4
"2688","AT",2002-04-01,50317.6
"2689","BE",2002-04-01,62404
"2690","BG",2002-04-01,3605.9
"2691","CH",2002-04-01,77168.1
"2692","CY",2002-04-01,2732.4
"2693","CZ",2002-04-01,20365.4
"2694","DE",2002-04-01,492345
"2695","DK",2002-04-01,41033.6
"2696","EA",2002-04-01,1690004.9
"2697","EA12",2002-04-01,1690004.9
"2698","EA19",2002-04-01,1712809.6
"2699","EE",2002-04-01,1773.6
"2700","EL",2002-04-01,35770.3
"2701","ES",2002-04-01,172881
"2702","EU15",2002-04-01,2210579.2
"2703","EU27_2019",2002-04-01,1919966.3
"2704","EU28",2002-04-01,2335413.1
"2705","FI",2002-04-01,33044
"2706","FR",2002-04-01,358607
"2707","HR",2002-04-01,5827.8
"2708","HU",2002-04-01,15485.6
"2709","IE",2002-04-01,30821.3
"2710","IT",2002-04-01,303359.4
"2711","LT",2002-04-01,3409.4
