"","nace_r2","geo","time","values"
"211","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2018-01-01,13882.2
"212","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2018-01-01,595.9
"213","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2018-01-01,12756.1
"214","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2018-01-01,92.9
"215","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2018-01-01,170.4
"216","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2018-01-01,117.2
"217","Total - all NACE activities","Austria",2018-01-01,66837.7
"218","Total - all NACE activities","Switzerland",2018-01-01,99889.7
"219","Total - all NACE activities","Cyprus",2018-01-01,3700.2
"220","Total - all NACE activities","Czechia",2018-01-01,31778.4
"221","Total - all NACE activities","Finland",2018-01-01,38169
"222","Total - all NACE activities","France",2018-01-01,460620.9
"223","Total - all NACE activities","Hungary",2018-01-01,21637.1
"224","Total - all NACE activities","Italy",2018-01-01,325016.4
"225","Total - all NACE activities","Lithuania",2018-01-01,6093
"226","Total - all NACE activities","Luxembourg",2018-01-01,9074.3
"227","Total - all NACE activities","Latvia",2018-01-01,3456.3
"228","Total - all NACE activities","Netherlands",2018-01-01,144660.8
"229","Agriculture, forestry and fishing","Switzerland",2017-10-01,711.2
"230","Agriculture, forestry and fishing","Cyprus",2017-10-01,69.3
"231","Agriculture, forestry and fishing","Czechia",2017-10-01,296.5
"232","Agriculture, forestry and fishing","Finland",2017-10-01,1271.1
"233","Agriculture, forestry and fishing","France",2017-10-01,7985.1
"234","Agriculture, forestry and fishing","Italy",2017-10-01,10229.2
"235","Agriculture, forestry and fishing","Lithuania",2017-10-01,116.5
"236","Agriculture, forestry and fishing","Luxembourg",2017-10-01,18.7
"237","Agriculture, forestry and fishing","Latvia",2017-10-01,121.5
"238","Industry (except construction)","Switzerland",2017-10-01,22477.4
"239","Industry (except construction)","Cyprus",2017-10-01,294.2
"240","Industry (except construction)","Czechia",2017-10-01,11815.4
"241","Industry (except construction)","Finland",2017-10-01,10414.3
"242","Industry (except construction)","France",2017-10-01,69546.5
"243","Industry (except construction)","Hungary",2017-10-01,6247.1
"244","Industry (except construction)","Italy",2017-10-01,66211.3
"245","Industry (except construction)","Lithuania",2017-10-01,1733.2
"246","Industry (except construction)","Luxembourg",2017-10-01,658
"247","Industry (except construction)","Latvia",2017-10-01,559.6
"248","Manufacturing","Switzerland",2017-10-01,21392.9
"249","Manufacturing","Cyprus",2017-10-01,221
"250","Manufacturing","Czechia",2017-10-01,11437.9
"251","Manufacturing","Finland",2017-10-01,8939.7
"252","Manufacturing","France",2017-10-01,59232.2
"253","Manufacturing","Hungary",2017-10-01,5493.5
