GDP,Geography,Industry,Quarter
708,Montana,Administrative and waste management services,2006 Q1
"2,020",Nebraska,Administrative and waste management services,2006 Q1
"4,046",Nevada,Administrative and waste management services,2006 Q1
"20,254",New England,Administrative and waste management services,2006 Q1
"1,604",New Hampshire,Administrative and waste management services,2006 Q1
"15,358",New Jersey,Administrative and waste management services,2006 Q1
"2,120",New Mexico,Administrative and waste management services,2006 Q1
"28,141",New York,Administrative and waste management services,2006 Q1
"10,370",North Carolina,Administrative and waste management services,2006 Q1
449,North Dakota,Administrative and waste management services,2006 Q1
"14,895",Ohio,Administrative and waste management services,2006 Q1
"4,421",Oklahoma,Administrative and waste management services,2006 Q1
"4,453",Oregon,Administrative and waste management services,2006 Q1
"13,708",Pennsylvania,Administrative and waste management services,2006 Q1
"21,978",Plains,Administrative and waste management services,2006 Q1
"1,195",Rhode Island,Administrative and waste management services,2006 Q1
"13,657",Rocky Mountain,Administrative and waste management services,2006 Q1
"6,193",South Carolina,Administrative and waste management services,2006 Q1
579,South Dakota,Administrative and waste management services,2006 Q1
"103,647",Southeast,Administrative and waste management services,2006 Q1
"52,029",Southwest,Administrative and waste management services,2006 Q1
"9,822",Tennessee,Administrative and waste management services,2006 Q1
"34,310",Texas,Administrative and waste management services,2006 Q1
"420,388",United States,Administrative and waste management services,2006 Q1
"2,976",Utah,Administrative and waste management services,2006 Q1
465,Vermont,Administrative and waste management services,2006 Q1
"10,476",Virginia,Administrative and waste management services,2006 Q1
"9,130",Washington,Administrative and waste management services,2006 Q1
"1,179",West Virginia,Administrative and waste management services,2006 Q1
"5,418",Wisconsin,Administrative and waste management services,2006 Q1
345,Wyoming,Administrative and waste management services,2006 Q1
"2,257",Alabama,"Agriculture, forestry, fishing, and hunting",2006 Q1
312,Alaska,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,853",Arizona,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,700",Arkansas,"Agriculture, forestry, fishing, and hunting",2006 Q1
"25,157",California,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,064",Colorado,"Agriculture, forestry, fishing, and hunting",2006 Q1
357,Connecticut,"Agriculture, forestry, fishing, and hunting",2006 Q1
331,Delaware,"Agriculture, forestry, fishing, and hunting",2006 Q1
2,District of Columbia,"Agriculture, forestry, fishing, and hunting",2006 Q1
"35,508",Far West,"Agriculture, forestry, fishing, and hunting",2006 Q1
"6,191",Florida,"Agriculture, forestry, fishing, and hunting",2006 Q1
"3,185",Georgia,"Agriculture, forestry, fishing, and hunting",2006 Q1
"14,461",Great Lakes,"Agriculture, forestry, fishing, and hunting",2006 Q1
450,Hawaii,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,314",Idaho,"Agriculture, forestry, fishing, and hunting",2006 Q1
"3,468",Illinois,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,541",Indiana,"Agriculture, forestry, fishing, and hunting",2006 Q1
"4,852",Iowa,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,832",Kansas,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,498",Kentucky,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,607",Louisiana,"Agriculture, forestry, fishing, and hunting",2006 Q1
786,Maine,"Agriculture, forestry, fishing, and hunting",2006 Q1
780,Maryland,"Agriculture, forestry, fishing, and hunting",2006 Q1
773,Massachusetts,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,523",Michigan,"Agriculture, forestry, fishing, and hunting",2006 Q1
"7,010",Mideast,"Agriculture, forestry, fishing, and hunting",2006 Q1
"4,292",Minnesota,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,739",Mississippi,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,675",Missouri,"Agriculture, forestry, fishing, and hunting",2006 Q1
917,Montana,"Agriculture, forestry, fishing, and hunting",2006 Q1
"3,470",Nebraska,"Agriculture, forestry, fishing, and hunting",2006 Q1
252,Nevada,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,600",New England,"Agriculture, forestry, fishing, and hunting",2006 Q1
258,New Hampshire,"Agriculture, forestry, fishing, and hunting",2006 Q1
839,New Jersey,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,059",New Mexico,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,144",New York,"Agriculture, forestry, fishing, and hunting",2006 Q1
"4,188",North Carolina,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,564",North Dakota,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,476",Ohio,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,845",Oklahoma,"Agriculture, forestry, fishing, and hunting",2006 Q1
"3,805",Oregon,"Agriculture, forestry, fishing, and hunting",2006 Q1
"2,916",Pennsylvania,"Agriculture, forestry, fishing, and hunting",2006 Q1
"21,155",Plains,"Agriculture, forestry, fishing, and hunting",2006 Q1
97,Rhode Island,"Agriculture, forestry, fishing, and hunting",2006 Q1
"6,158",Rocky Mountain,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,180",South Carolina,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,468",South Dakota,"Agriculture, forestry, fishing, and hunting",2006 Q1
"28,374",Southeast,"Agriculture, forestry, fishing, and hunting",2006 Q1
"12,516",Southwest,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,201",Tennessee,"Agriculture, forestry, fishing, and hunting",2006 Q1
"7,779",Texas,"Agriculture, forestry, fishing, and hunting",2006 Q1
"127,315",United States,"Agriculture, forestry, fishing, and hunting",2006 Q1
488,Utah,"Agriculture, forestry, fishing, and hunting",2006 Q1
323,Vermont,"Agriculture, forestry, fishing, and hunting",2006 Q1
"1,389",Virginia,"Agriculture, forestry, fishing, and hunting",2006 Q1
"5,541",Washington,"Agriculture, forestry, fishing, and hunting",2006 Q1
239,West Virginia,"Agriculture, forestry, fishing, and hunting",2006 Q1
"3,468",Wisconsin,"Agriculture, forestry, fishing, and hunting",2006 Q1
377,Wyoming,"Agriculture, forestry, fishing, and hunting",2006 Q1
"174,456",Alabama,All industry total,2006 Q1
"42,654",Alaska,All industry total,2006 Q1
"261,371",Arizona,All industry total,2006 Q1
"101,581",Arkansas,All industry total,2006 Q1
"1,959,079",California,All industry total,2006 Q1
"244,317",Colorado,All industry total,2006 Q1
"237,084",Connecticut,All industry total,2006 Q1
"57,940",Delaware,All industry total,2006 Q1
"94,546",District of Columbia,All industry total,2006 Q1
"2,698,563",Far West,All industry total,2006 Q1
"796,013",Florida,All industry total,2006 Q1
"417,925",Georgia,All industry total,2006 Q1
"2,135,682",Great Lakes,All industry total,2006 Q1
"65,600",Hawaii,All industry total,2006 Q1
"53,989",Idaho,All industry total,2006 Q1
"667,158",Illinois,All industry total,2006 Q1
"273,975",Indiana,All industry total,2006 Q1
"135,773",Iowa,All industry total,2006 Q1
"118,703",Kansas,All industry total,2006 Q1
"163,825",Kentucky,All industry total,2006 Q1
"212,738",Louisiana,All industry total,2006 Q1
"51,562",Maine,All industry total,2006 Q1
"296,533",Maryland,All industry total,2006 Q1
"378,714",Massachusetts,All industry total,2006 Q1
"427,873",Michigan,All industry total,2006 Q1
"2,665,005",Mideast,All industry total,2006 Q1
"268,098",Minnesota,All industry total,2006 Q1
"91,418",Mississippi,All industry total,2006 Q1
"250,901",Missouri,All industry total,2006 Q1
"34,277",Montana,All industry total,2006 Q1
"83,734",Nebraska,All industry total,2006 Q1
"134,433",Nevada,All industry total,2006 Q1
"805,326",New England,All industry total,2006 Q1
"61,892",New Hampshire,All industry total,2006 Q1
"497,149",New Jersey,All industry total,2006 Q1
"80,952",New Mexico,All industry total,2006 Q1
"1,153,961",New York,All industry total,2006 Q1
"409,264",North Carolina,All industry total,2006 Q1
"27,553",North Dakota,All industry total,2006 Q1
"513,596",Ohio,All industry total,2006 Q1
"144,958",Oklahoma,All industry total,2006 Q1
"164,709",Oregon,All industry total,2006 Q1
"564,628",Pennsylvania,All industry total,2006 Q1
"917,731",Plains,All industry total,2006 Q1
"50,037",Rhode Island,All industry total,2006 Q1
"472,199",Rocky Mountain,All industry total,2006 Q1
"164,168",South Carolina,All industry total,2006 Q1
"33,216",South Dakota,All industry total,2006 Q1
"3,254,621",Southeast,All industry total,2006 Q1
"1,583,777",Southwest,All industry total,2006 Q1
"255,268",Tennessee,All industry total,2006 Q1
"1,097,975",Texas,All industry total,2006 Q1
"14,528,001",United States,All industry total,2006 Q1
"108,354",Utah,All industry total,2006 Q1
"26,096",Vermont,All industry total,2006 Q1
"406,307",Virginia,All industry total,2006 Q1
"332,874",Washington,All industry total,2006 Q1
"61,914",West Virginia,All industry total,2006 Q1
"253,263",Wisconsin,All industry total,2006 Q1
"31,654",Wyoming,All industry total,2006 Q1
643,Alabama,"Arts, entertainment, and recreation",2006 Q1
183,Alaska,"Arts, entertainment, and recreation",2006 Q1
"2,342",Arizona,"Arts, entertainment, and recreation",2006 Q1
377,Arkansas,"Arts, entertainment, and recreation",2006 Q1
"25,573",California,"Arts, entertainment, and recreation",2006 Q1
"3,150",Colorado,"Arts, entertainment, and recreation",2006 Q1
"1,985",Connecticut,"Arts, entertainment, and recreation",2006 Q1
441,Delaware,"Arts, entertainment, and recreation",2006 Q1
658,District of Columbia,"Arts, entertainment, and recreation",2006 Q1
"34,072",Far West,"Arts, entertainment, and recreation",2006 Q1
"12,725",Florida,"Arts, entertainment, and recreation",2006 Q1
"2,652",Georgia,"Arts, entertainment, and recreation",2006 Q1
"19,223",Great Lakes,"Arts, entertainment, and recreation",2006 Q1
653,Hawaii,"Arts, entertainment, and recreation",2006 Q1
365,Idaho,"Arts, entertainment, and recreation",2006 Q1
"5,766",Illinois,"Arts, entertainment, and recreation",2006 Q1
"3,618",Indiana,"Arts, entertainment, and recreation",2006 Q1
"1,077",Iowa,"Arts, entertainment, and recreation",2006 Q1
535,Kansas,"Arts, entertainment, and recreation",2006 Q1
928,Kentucky,"Arts, entertainment, and recreation",2006 Q1
"2,200",Louisiana,"Arts, entertainment, and recreation",2006 Q1
404,Maine,"Arts, entertainment, and recreation",2006 Q1
"2,407",Maryland,"Arts, entertainment, and recreation",2006 Q1
"3,516",Massachusetts,"Arts, entertainment, and recreation",2006 Q1
"3,880",Michigan,"Arts, entertainment, and recreation",2006 Q1
"27,240",Mideast,"Arts, entertainment, and recreation",2006 Q1
"2,534",Minnesota,"Arts, entertainment, and recreation",2006 Q1
619,Mississippi,"Arts, entertainment, and recreation",2006 Q1
"3,420",Missouri,"Arts, entertainment, and recreation",2006 Q1
439,Montana,"Arts, entertainment, and recreation",2006 Q1
449,Nebraska,"Arts, entertainment, and recreation",2006 Q1
"3,344",Nevada,"Arts, entertainment, and recreation",2006 Q1
"7,086",New England,"Arts, entertainment, and recreation",2006 Q1
503,New Hampshire,"Arts, entertainment, and recreation",2006 Q1
"4,079",New Jersey,"Arts, entertainment, and recreation",2006 Q1
429,New Mexico,"Arts, entertainment, and recreation",2006 Q1
"15,003",New York,"Arts, entertainment, and recreation",2006 Q1
"3,271",North Carolina,"Arts, entertainment, and recreation",2006 Q1
112,North Dakota,"Arts, entertainment, and recreation",2006 Q1
"4,108",Ohio,"Arts, entertainment, and recreation",2006 Q1
828,Oklahoma,"Arts, entertainment, and recreation",2006 Q1
"1,023",Oregon,"Arts, entertainment, and recreation",2006 Q1
"4,654",Pennsylvania,"Arts, entertainment, and recreation",2006 Q1
"8,366",Plains,"Arts, entertainment, and recreation",2006 Q1
450,Rhode Island,"Arts, entertainment, and recreation",2006 Q1
"5,078",Rocky Mountain,"Arts, entertainment, and recreation",2006 Q1
"1,076",South Carolina,"Arts, entertainment, and recreation",2006 Q1
240,South Dakota,"Arts, entertainment, and recreation",2006 Q1
"30,094",Southeast,"Arts, entertainment, and recreation",2006 Q1
"10,809",Southwest,"Arts, entertainment, and recreation",2006 Q1
"2,756",Tennessee,"Arts, entertainment, and recreation",2006 Q1
"7,210",Texas,"Arts, entertainment, and recreation",2006 Q1
"141,967",United States,"Arts, entertainment, and recreation",2006 Q1
917,Utah,"Arts, entertainment, and recreation",2006 Q1
227,Vermont,"Arts, entertainment, and recreation",2006 Q1
"2,406",Virginia,"Arts, entertainment, and recreation",2006 Q1
"3,296",Washington,"Arts, entertainment, and recreation",2006 Q1
446,West Virginia,"Arts, entertainment, and recreation",2006 Q1
"1,850",Wisconsin,"Arts, entertainment, and recreation",2006 Q1
208,Wyoming,"Arts, entertainment, and recreation",2006 Q1
"9,630",Alabama,Construction,2006 Q1
"2,328",Alaska,Construction,2006 Q1
"24,558",Arizona,Construction,2006 Q1
"4,984",Arkansas,Construction,2006 Q1
"105,263",California,Construction,2006 Q1
"15,731",Colorado,Construction,2006 Q1
"8,849",Connecticut,Construction,2006 Q1
"2,828",Delaware,Construction,2006 Q1
"1,096",District of Columbia,Construction,2006 Q1
"152,637",Far West,Construction,2006 Q1
"66,928",Florida,Construction,2006 Q1
"23,638",Georgia,Construction,2006 Q1
"101,274",Great Lakes,Construction,2006 Q1
"4,534",Hawaii,Construction,2006 Q1
"4,305",Idaho,Construction,2006 Q1
"35,148",Illinois,Construction,2006 Q1
"13,115",Indiana,Construction,2006 Q1
"6,407",Iowa,Construction,2006 Q1
"5,079",Kansas,Construction,2006 Q1
"7,590",Kentucky,Construction,2006 Q1
"10,852",Louisiana,Construction,2006 Q1
"2,904",Maine,Construction,2006 Q1
"18,021",Maryland,Construction,2006 Q1
"17,306",Massachusetts,Construction,2006 Q1
"19,407",Michigan,Construction,2006 Q1
"109,594",Mideast,Construction,2006 Q1
"14,729",Minnesota,Construction,2006 Q1
"5,501",Mississippi,Construction,2006 Q1
"13,088",Missouri,Construction,2006 Q1
"2,539",Montana,Construction,2006 Q1
"3,769",Nebraska,Construction,2006 Q1
"14,250",Nevada,Construction,2006 Q1
"36,423",New England,Construction,2006 Q1
"3,253",New Hampshire,Construction,2006 Q1
"22,381",New Jersey,Construction,2006 Q1
"4,435",New Mexico,Construction,2006 Q1
"38,138",New York,Construction,2006 Q1
"21,951",North Carolina,Construction,2006 Q1
"1,355",North Dakota,Construction,2006 Q1
"21,528",Ohio,Construction,2006 Q1
"6,067",Oklahoma,Construction,2006 Q1
"8,904",Oregon,Construction,2006 Q1
"27,130",Pennsylvania,Construction,2006 Q1
"46,025",Plains,Construction,2006 Q1
"2,729",Rhode Island,Construction,2006 Q1
"31,793",Rocky Mountain,Construction,2006 Q1
"10,658",South Carolina,Construction,2006 Q1
"1,597",South Dakota,Construction,2006 Q1
"199,786",Southeast,Construction,2006 Q1
"100,021",Southwest,Construction,2006 Q1
"11,608",Tennessee,Construction,2006 Q1
"64,960",Texas,Construction,2006 Q1
"777,585",United States,Construction,2006 Q1
"7,404",Utah,Construction,2006 Q1
"1,382",Vermont,Construction,2006 Q1
"23,468",Virginia,Construction,2006 Q1
"17,358",Washington,Construction,2006 Q1
"2,979",West Virginia,Construction,2006 Q1
"12,076",Wisconsin,Construction,2006 Q1
"1,813",Wyoming,Construction,2006 Q1
809,Alabama,Educational services,2006 Q1
136,Alaska,Educational services,2006 Q1
"2,116",Arizona,Educational services,2006 Q1
452,Arkansas,Educational services,2006 Q1
"16,523",California,Educational services,2006 Q1
"1,726",Colorado,Educational services,2006 Q1
"3,620",Connecticut,Educational services,2006 Q1
344,Delaware,Educational services,2006 Q1
"2,832",District of Columbia,Educational services,2006 Q1
"20,711",Far West,Educational services,2006 Q1
"6,253",Florida,Educational services,2006 Q1
"3,948",Georgia,Educational services,2006 Q1
"19,497",Great Lakes,Educational services,2006 Q1
663,Hawaii,Educational services,2006 Q1
328,Idaho,Educational services,2006 Q1
"7,575",Illinois,Educational services,2006 Q1
"2,435",Indiana,Educational services,2006 Q1
"1,194",Iowa,Educational services,2006 Q1
665,Kansas,Educational services,2006 Q1
907,Kentucky,Educational services,2006 Q1
"1,347",Louisiana,Educational services,2006 Q1
598,Maine,Educational services,2006 Q1
"3,924",Maryland,Educational services,2006 Q1
"9,855",Massachusetts,Educational services,2006 Q1
"2,925",Michigan,Educational services,2006 Q1
"42,109",Mideast,Educational services,2006 Q1
"2,300",Minnesota,Educational services,2006 Q1
585,Mississippi,Educational services,2006 Q1
"2,563",Missouri,Educational services,2006 Q1
149,Montana,Educational services,2006 Q1
718,Nebraska,Educational services,2006 Q1
356,Nevada,Educational services,2006 Q1
"17,188",New England,Educational services,2006 Q1
"1,226",New Hampshire,Educational services,2006 Q1
"4,562",New Jersey,Educational services,2006 Q1
442,New Mexico,Educational services,2006 Q1
"19,006",New York,Educational services,2006 Q1
"3,608",North Carolina,Educational services,2006 Q1
107,North Dakota,Educational services,2006 Q1
"4,415",Ohio,Educational services,2006 Q1
755,Oklahoma,Educational services,2006 Q1
"1,265",Oregon,Educational services,2006 Q1
"11,441",Pennsylvania,Educational services,2006 Q1
"7,792",Plains,Educational services,2006 Q1
"1,294",Rhode Island,Educational services,2006 Q1
"3,522",Rocky Mountain,Educational services,2006 Q1
989,South Carolina,Educational services,2006 Q1
245,South Dakota,Educational services,2006 Q1
"24,839",Southeast,Educational services,2006 Q1
"9,713",Southwest,Educational services,2006 Q1
"2,442",Tennessee,Educational services,2006 Q1
"6,400",Texas,Educational services,2006 Q1
"145,371",United States,Educational services,2006 Q1
"1,249",Utah,Educational services,2006 Q1
595,Vermont,Educational services,2006 Q1
"3,224",Virginia,Educational services,2006 Q1
"1,768",Washington,Educational services,2006 Q1
274,West Virginia,Educational services,2006 Q1
"2,147",Wisconsin,Educational services,2006 Q1
70,Wyoming,Educational services,2006 Q1
"8,327",Alabama,Finance and insurance,2006 Q1
"1,053",Alaska,Finance and insurance,2006 Q1
"14,292",Arizona,Finance and insurance,2006 Q1
"3,561",Arkansas,Finance and insurance,2006 Q1
"94,502",California,Finance and insurance,2006 Q1
"12,636",Colorado,Finance and insurance,2006 Q1
"33,932",Connecticut,Finance and insurance,2006 Q1
"15,595",Delaware,Finance and insurance,2006 Q1
"3,326",District of Columbia,Finance and insurance,2006 Q1
"123,789",Far West,Finance and insurance,2006 Q1
"38,939",Florida,Finance and insurance,2006 Q1
"24,403",Georgia,Finance and insurance,2006 Q1
"151,463",Great Lakes,Finance and insurance,2006 Q1
"2,136",Hawaii,Finance and insurance,2006 Q1
"2,250",Idaho,Finance and insurance,2006 Q1
"59,785",Illinois,Finance and insurance,2006 Q1
"12,873",Indiana,Finance and insurance,2006 Q1
"14,912",Iowa,Finance and insurance,2006 Q1
"5,311",Kansas,Finance and insurance,2006 Q1
"6,806",Kentucky,Finance and insurance,2006 Q1
"6,124",Louisiana,Finance and insurance,2006 Q1
"2,641",Maine,Finance and insurance,2006 Q1
"15,186",Maryland,Finance and insurance,2006 Q1
"31,915",Massachusetts,Finance and insurance,2006 Q1
"23,829",Michigan,Finance and insurance,2006 Q1
"301,523",Mideast,Finance and insurance,2006 Q1
"22,202",Minnesota,Finance and insurance,2006 Q1
"3,391",Mississippi,Finance and insurance,2006 Q1
"15,740",Missouri,Finance and insurance,2006 Q1
"1,398",Montana,Finance and insurance,2006 Q1
"6,417",Nebraska,Finance and insurance,2006 Q1
"6,504",Nevada,Finance and insurance,2006 Q1
"76,681",New England,Finance and insurance,2006 Q1
"3,458",New Hampshire,Finance and insurance,2006 Q1
"32,892",New Jersey,Finance and insurance,2006 Q1
"2,115",New Mexico,Finance and insurance,2006 Q1
"200,074",New York,Finance and insurance,2006 Q1
"35,344",North Carolina,Finance and insurance,2006 Q1
"1,309",North Dakota,Finance and insurance,2006 Q1
"38,411",Ohio,Finance and insurance,2006 Q1
"5,444",Oklahoma,Finance and insurance,2006 Q1
"6,476",Oregon,Finance and insurance,2006 Q1
"34,458",Pennsylvania,Finance and insurance,2006 Q1
"70,806",Plains,Finance and insurance,2006 Q1
"3,430",Rhode Island,Finance and insurance,2006 Q1
"26,062",Rocky Mountain,Finance and insurance,2006 Q1
"6,744",South Carolina,Finance and insurance,2006 Q1
"5,165",South Dakota,Finance and insurance,2006 Q1
"165,050",Southeast,Finance and insurance,2006 Q1
"74,394",Southwest,Finance and insurance,2006 Q1
"11,220",Tennessee,Finance and insurance,2006 Q1
"52,533",Texas,Finance and insurance,2006 Q1
"990,247",United States,Finance and insurance,2006 Q1
"9,113",Utah,Finance and insurance,2006 Q1
"1,324",Vermont,Finance and insurance,2006 Q1
"18,233",Virginia,Finance and insurance,2006 Q1
"13,084",Washington,Finance and insurance,2006 Q1
"1,950",West Virginia,Finance and insurance,2006 Q1
"16,635",Wisconsin,Finance and insurance,2006 Q1
655,Wyoming,Finance and insurance,2006 Q1
"28,516",Alabama,Government,2006 Q1
"8,767",Alaska,Government,2006 Q1
"34,158",Arizona,Government,2006 Q1
"13,780",Arkansas,Government,2006 Q1
"257,731",California,Government,2006 Q1
"32,816",Colorado,Government,2006 Q1
"23,881",Connecticut,Government,2006 Q1
"5,955",Delaware,Government,2006 Q1
"33,865",District of Columbia,Government,2006 Q1
"365,301",Far West,Government,2006 Q1
"90,324",Florida,Government,2006 Q1
"56,864",Georgia,Government,2006 Q1
"243,834",Great Lakes,Government,2006 Q1
"14,066",Hawaii,Government,2006 Q1
"8,163",Idaho,Government,2006 Q1
"70,363",Illinois,Government,2006 Q1
"31,710",Indiana,Government,2006 Q1
"16,127",Iowa,Government,2006 Q1
"17,490",Kansas,Government,2006 Q1
"24,432",Kentucky,Government,2006 Q1
"24,775",Louisiana,Government,2006 Q1
"7,660",Maine,Government,2006 Q1
"60,226",Maryland,Government,2006 Q1
"43,349",Massachusetts,Government,2006 Q1
"51,005",Michigan,Government,2006 Q1
"357,370",Mideast,Government,2006 Q1
"28,880",Minnesota,Government,2006 Q1
"16,300",Mississippi,Government,2006 Q1
"31,550",Missouri,Government,2006 Q1
"5,812",Montana,Government,2006 Q1
"11,936",Nebraska,Government,2006 Q1
"13,758",Nevada,Government,2006 Q1
"94,122",New England,Government,2006 Q1
"7,759",New Hampshire,Government,2006 Q1
"56,865",New Jersey,Government,2006 Q1
"20,349",New Mexico,Government,2006 Q1
"136,110",New York,Government,2006 Q1
"55,629",North Carolina,Government,2006 Q1
"4,314",North Dakota,Government,2006 Q1
"61,447",Ohio,Government,2006 Q1
"22,567",Oklahoma,Government,2006 Q1
"20,994",Oregon,Government,2006 Q1
"64,335",Pennsylvania,Government,2006 Q1
"114,976",Plains,Government,2006 Q1
"7,593",Rhode Island,Government,2006 Q1
"67,348",Rocky Mountain,Government,2006 Q1
"27,400",South Carolina,Government,2006 Q1
"4,682",South Dakota,Government,2006 Q1
"455,635",Southeast,Government,2006 Q1
"205,827",Southwest,Government,2006 Q1
"32,178",Tennessee,Government,2006 Q1
"128,742",Texas,Government,2006 Q1
"1,904,352",United States,Government,2006 Q1
"16,160",Utah,Government,2006 Q1
"3,884",Vermont,Government,2006 Q1
"74,895",Virginia,Government,2006 Q1
"49,987",Washington,Government,2006 Q1
"10,533",West Virginia,Government,2006 Q1
"29,310",Wisconsin,Government,2006 Q1
"4,394",Wyoming,Government,2006 Q1
"11,588",Alabama,Health care and social assistance,2006 Q1
