,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Краснодарский край,5514,4849,10363,5791,16154,4483,20637,5016,25653,5429,31082,5827,36909,6676,43585,6120,49705,5871,55576,5580,61156,5798,66954,5591,4760,10351,5222,15573,4610,20183,4949,25132,5185,30317,5879,36196,6308,42504,5407,47911,5935,53846,5143,58989,4706,63695,4752
        Астраханская область,1077,904,1981,1033,3014,851,3865,985,4850,1006,5856,981,6837,1157,7994,1177,9171,1063,10234,1036,11270,1051,12321,1013,905,1918,965,2883,836,3719,941,4660,912,5572,1021,6593,1167,7760,1020,8780,1152,9932,976,10908,892,11800,915
        Волгоградская область,2055,1885,3940,2180,6120,1731,7851,2048,9899,2112,12011,2239,14250,2572,16822,2059,18881,2240,21121,2074,23195,1978,25173,2024,1869,3893,1978,5871,1678,7549,1707,9256,2020,11276,2164,13440,2273,15713,1885,17598,2098,19696,1871,21567,1830,23397,1856
        Ростовская область,3406,3374,6780,3796,10576,2972,13548,3486,17034,3734,20768,3718,24486,4435,28921,3756,32677,3846,36523,3617,40140,3438,43578,3524,3150,6674,3269,9943,2956,12899,3386,16285,3296,19581,3693,23274,4047,27321,3409,30730,3768,34498,3306,37804,3303,41107,3251
        Город федерального значения Севастополь,379,396,775,406,1181,332,1513,417,1930,423,2353,373,2726,467,3193,441,3634,393,4027,408,4435,410,4845,380,339,719,362,1081,318,1399,374,1773,316,2089,415,2504,452,2956,374,3330,447,3777,379,4156,338,4494,361
        Республика Дагестан,4178,3916,8094,4389,12483,3586,16069,3838,19907,3748,23655,4153,27808,4759,32567,4600,37167,4566,41733,4585,46318,4004,50322,4192,4058,8250,3933,12183,3722,15905,3472,19377,3809,23186,4146,27332,4593,31925,4638,36563,3445,40008,4106,44114,3576,47690,2341
        Республика Ингушетия*,681,547,1228,662,1890,577,2467,640,3107,473,3580,781,4361,839,5200,696,5896,798,6694,674,7368,632,8000,702,656,1358,583,1941,606,2547,606,3153,546,3699,735,4434,695,5129,653,5782,712,6494,721,7215,522,7737,713
        Кабардино-Балкарская Республика,918,854,1772,908,2680,818,3498,896,4394,887,5281,1018,6299,1095,7394,875,8269,1033,9302,922,10224,868,11092,958,872,1830,836,2666,805,3471,844,4315,813,5128,941,6069,1009,7078,991,8069,1012,9081,901,9982,804,10786,872
        Карачаево-Черкесская Республика,419,409,828,465,1293,396,1689,426,2115,426,2541,436,2977,488,3465,429,3894,430,4324,423,4747,398,5145,404,390,794,401,1195,364,1559,407,1966,374,2340,465,2805,480,3285,422,3707,455,4162,396,4558,416,4974,425
        Республика Северная Осетия-Алания,740,691,1431,796,2227,663,2890,718,3608,728,4336,792,5128,902,6030,795,6825,738,7563,737,8300,692,8992,777,674,1451,804,2255,603,2858,739,3597,670,4267,779,5046,911,5957,849,6806,776,7582,729,8311,784,9095,702
