,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Новосибирская область,14,11,25,18,43,16,59,11,70,12,82,21,103,13,116,17,133,19,152,12,164,8,172,14,19,33,15,48,12,60,12,72,16,88,14,102,8,110,15,125,10,135,16,151,12,163,21
        Омская область,10,10,20,19,39,14,53,14,67,12,79,16,95,13,108,12,120,9,129,16,145,13,158,10,11,21,16,37,12,49,11,60,11,71,10,81,16,97,13,110,9,119,13,132,12,144,10
        Томская область,4,3,7,3,10,3,13,2,15,5,20,8,28,4,32,6,38,2,40,8,48,9,57,3,7,10,3,13,7,20,10,30,3,33,4,37,3,40,4,44,7,51,7,58,3,61,2
        Республика Саха (Якутия),11,8,19,5,24,5,29,6,35,2,37,4,41,1,42,7,49,3,52,12,64,11,75,7,3,10,2,12,9,21,5,26,6,32,17,49,6,55,4,59,1,60,3,63,8,71,3
        Камчатский край,0,2,2,3,5,3,8,2,10,3,13,2,15,2,17,1,18,1,19,2,21,1,22,1,0,1,0,1,2,3,1,4,3,7,4,11,3,14,3,17,2,19,0,19,1,20,0
        Приморский край,19,10,29,9,38,7,45,13,58,9,67,14,81,12,93,12,105,12,117,10,127,6,133,16,4,20,6,26,6,32,8,40,5,45,11,56,8,64,6,70,11,81,7,88,10,98,11
        Хабаровский край,12,8,20,13,33,9,42,9,51,9,60,5,65,6,71,4,75,11,86,6,92,3,95,12,2,14,3,17,4,21,7,28,7,35,7,42,10,52,6,58,7,65,5,70,7,77,6
        Амурская область,5,7,12,5,17,2,19,8,27,2,29,3,32,2,34,3,37,1,38,3,41,6,47,8,3,11,7,18,2,20,6,26,0,26,1,27,3,30,2,32,3,35,6,41,5,46,7
        Магаданская область,0,2,2,0,2,0,2,0,2,2,4,0,4,0,4,1,5,0,5,1,6,0,6,0,0,0,1,1,1,2,0,2,2,4,0,4,0,4,1,5,0,5,0,5,0,5,0
        Сахалинская область,2,1,3,6,9,0,9,1,10,5,15,2,17,4,21,1,22,2,24,3,27,3,30,1,3,4,1,5,1,6,1,7,1,8,0,8,2,10,1,11,1,12,3,15,2,17,2
        Еврейская автономная область,3,2,5,3,8,2,10,2,12,0,12,3,15,2,17,0,17,1,18,3,21,0,21,0,1,1,3,4,1,5,2,7,0,7,3,10,0,10,3,13,1,14,0,14,4,18,1
        Чукотский автономный округ,0,0,0,2,2,1,3,0,3,0,3,0,3,1,4,1,5,0,5,0,5,2,7,0,0,0,1,1,1,2,1,3,1,4,0,4,2,6,0,6,1,7,0,7,0,7,2
