,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,246
1980-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1980-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1980-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1980-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1981-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1981-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1981-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1981-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
